Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height
-,,Aingeru Olabarrieta,M/AM (RL),ESP,17,A. Bilbao,Unknown,Unknown,€325K - €1M,"€1,800 p/m",-,€10M,-,Balanced,Level-headed,Promising winger,30/6/2024,Very Strong,Reasonable,-,-,2,13,1,10,14,7,14,9,2,7,10,11,10,4,11,10,13,15,3,6,10,3,8,7,7,7,11,11,8,2,14,4,8,9,9,3,2,5,9,2000182609,8,181 cm
-,,Imanol,D/WB (L),ESP,23,A. Bilbao,Unknown,Unknown,€650K - €1.9M,"€15,250 p/m",-,€4.7M,-,Jovial,"Unflappable, Media-friendly",Full-back,30/6/2025,Very Strong,Reasonable,-,-,3,13,2,8,13,12,11,13,2,11,13,13,12,13,11,10,11,9,2,10,9,1,9,7,12,12,12,12,13,2,13,13,12,14,13,1,4,10,14,67276239,10,177 cm
-,,Aritz Ortigosa,D/WB/M/AM (L),ESP,16,A. Bilbao,Unknown,Unknown,€100K - €300K,"€1,500 p/m",-,€10M,-,Balanced,Media-friendly,Young full-back,30/6/2025,Very Strong,Reasonable,-,-,2,11,4,5,11,8,6,8,2,13,6,9,8,9,9,6,9,9,1,7,16,1,3,5,6,9,9,9,6,3,10,8,12,14,9,1,2,7,14,2000287836,7,189 cm
-,,Julen Agirrezabala,GK,ESP,22,A. Bilbao,Unknown,Unknown,€9.2M - €28M,"€42,500 p/m",-,€18.5M,-,Balanced,Media-friendly,Goalkeeper,30/6/2025,Very Strong,Weak,-,-,13,13,14,5,13,12,7,16,13,13,8,1,11,13,2,1,10,2,12,2,15,11,6,3,3,2,11,10,16,15,5,13,1,12,10,12,9,11,9,67277830,3,187 cm
-,,Ugaitz Quevedo,M/AM (RL),ESP,17,A. Bilbao,Unknown,Unknown,€600K - €1.9M,"€1,300 p/m",-,€2.4M,-,Balanced,Media-friendly,Young winger,30/6/2026,Reasonable,Very Strong,-,-,2,12,2,7,10,8,7,2,3,3,5,12,13,12,13,12,13,13,1,6,7,1,6,7,4,9,12,10,5,1,8,3,7,7,13,3,3,7,8,2000295443,7,185 cm
-,,Íñigo Lekue,"D/WB (RL), M/AM (R)",ESP,30,A. Bilbao,Unknown,Unknown,€6.2M - €18.5M,"€53,500 p/m",-,€40M,-,Balanced,Level-headed,Full-back,30/6/2025,Reasonable,Very Strong,-,-,1,13,2,10,13,13,13,13,1,12,10,13,12,12,12,7,12,12,2,10,10,1,8,7,12,13,13,12,12,1,14,12,13,14,13,2,3,12,15,67184347,9,180 cm
-,Loa,Beñat Prados,"D (C), DM, M (C)",ESP,22,A. Bilbao,Unknown,Unknown,€1.5M - €4.4M,"€15,250 p/m",-,€6.5M,-,Balanced,Media-friendly,Defensive midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,12,1,11,12,11,10,12,1,11,9,11,12,13,12,8,13,5,1,11,10,1,9,10,11,12,12,13,13,3,12,12,11,15,14,3,1,14,14,67277835,8,180 cm
-,,Peru Nolaskoain,"D (C), DM, M (C)",ESP,24,A. Bilbao,Unknown,Unknown,€275K - €800K,"€15,250 p/m",-,€60M,-,Balanced,Level-headed,Centre-back,30/6/2024,Reasonable,Very Strong,-,-,1,12,2,11,13,11,8,12,2,11,11,7,11,13,13,9,12,9,2,13,12,1,12,11,12,7,13,12,12,3,13,14,13,14,12,3,2,12,14,67233388,7,186 cm
-,,Peio Huestamendia,"M (RLC), AM (RL)",ESP,16,A. Bilbao,Unknown,Unknown,€3.1M - €9.4M,"€1,800 p/m",-,€10M,-,Balanced,Media-friendly,Promising winger,30/6/2025,Reasonable,Very Strong,-,-,2,13,3,7,10,6,15,5,1,6,11,13,6,5,15,10,9,12,2,9,12,3,8,8,6,10,11,14,5,1,11,5,11,10,14,2,2,10,14,2000217190,10,182 cm
-,,Adrián Pérez,"M/AM (R), ST (C)",ESP,16,A. Bilbao,Unknown,Unknown,€275K - €800K,"€1,500 p/m",-,€10M,-,Balanced,Media-friendly,Young winger,30/6/2025,Reasonable,Very Strong,-,-,3,13,2,7,13,8,13,8,1,7,4,8,6,11,6,13,11,8,2,7,8,1,10,13,2,8,13,9,6,2,6,3,6,7,8,4,2,7,11,2000280111,5,183 cm
-,,Mikel Vesga,"DM, M (C)",ESP,30,A. Bilbao,Unknown,Unknown,€23M - €68M,"€114,000 p/m",-,€50M,-,Balanced,Media-friendly,Defensive midfielder,30/6/2024,Very Strong,Reasonable,-,-,2,13,2,13,13,14,10,13,2,14,14,7,14,13,8,8,14,7,3,14,15,1,8,14,14,12,13,13,15,1,14,14,14,16,14,3,2,13,18,67195855,7,191 cm
-,,Yuri,D/WB (L),ESP,33,A. Bilbao,Unknown,Unknown,€4.8M - €14.5M,"€378,000 p/m",-,€1B,-,Fairly Determined,Media-friendly,Experienced full-back,30/6/2024,Very Strong,Reasonable,-,-,2,13,3,15,12,13,15,14,2,14,11,14,13,15,12,8,12,10,1,13,13,3,10,14,13,14,13,13,14,3,13,14,15,13,14,2,2,11,14,67035000,12,181 cm
-,,Iker Pagaza,GK,ESP,16,A. Bilbao,Unknown,Unknown,€275K - €800K,"€1,500 p/m",-,€10M,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Very Strong,Reasonable,-,-,12,11,13,8,8,4,7,15,9,8,7,3,13,13,3,3,1,1,13,1,13,13,9,2,1,3,13,6,8,10,1,6,2,7,5,8,8,5,6,2000280045,3,193 cm
-,,Óscar De Marcos,D/WB/M/AM (R),ESP,34,A. Bilbao,Unknown,Unknown,€1.7M - €5.2M,"€73,000 p/m",-,€1B,-,Fairly Ambitious,Level-headed,Experienced full-back,30/6/2024,Reasonable,Very Strong,-,-,1,14,3,12,12,13,11,15,3,14,12,12,11,13,11,11,11,12,3,11,10,2,9,12,11,14,14,13,14,1,14,13,12,14,12,1,1,11,15,67065930,10,182 cm
-,,David Arredondo,M (C),ESP,17,A. Bilbao,Unknown,Unknown,€120K - €375K,"€1,300 p/m",-,€10M,-,Fairly Determined,Media-friendly,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,14,1,15,10,6,9,8,1,9,5,6,10,17,7,10,14,8,1,7,6,1,10,6,4,5,13,14,6,2,7,5,7,13,12,2,3,8,12,2000217267,7,179 cm
-,,Ander Herrera,"DM, M (C)",ESP,33,A. Bilbao,Unknown,Unknown,€2M - €6M,"€500,000 p/m",-,€15M,-,Professional,Level-headed,Experienced midfielder,30/6/2024,Reasonable,Very Strong,-,-,3,12,2,17,12,16,12,12,3,13,13,14,13,17,9,10,15,8,1,5,8,2,15,9,15,12,12,15,14,1,12,11,14,16,15,1,1,14,17,67009261,7,182 cm
-,,Yeray,D (C),ESP,28,A. Bilbao,Unknown,Unknown,€21M - €64M,"€97,500 p/m",-,€70M,-,Fairly Professional,Level-headed,Centre-back,30/6/2026,Reasonable,Very Strong,-,-,3,13,1,13,12,14,12,16,3,15,14,12,14,14,9,7,11,8,3,15,13,1,13,9,15,7,12,13,14,3,13,13,15,15,11,3,4,11,14,67192475,7,182 cm
-,,Asier Villalibre,ST (C),ESP,25,A. Bilbao,Unknown,Unknown,€6M - €18.5M,"€42,500 p/m",-,€50M,-,Fairly Determined,Media-friendly,Striker,30/6/2025,Very Strong,Reasonable,-,-,1,12,3,13,12,13,12,14,2,13,12,11,12,15,11,13,12,13,2,14,12,2,14,12,7,14,13,11,13,1,14,15,8,13,12,2,2,11,16,67195730,7,184 cm
-,,Nico Williams,M/AM (RL),ESP,20,A. Bilbao,Unknown,Unknown,€25M - €75M,"€165,000 p/m",-,€50M,-,Fairly Determined,Level-headed,Wonderkid,30/6/2025,Strong,Very Strong,-,-,1,15,2,6,15,13,11,13,1,12,13,14,13,17,14,12,14,12,3,12,10,3,11,10,9,15,14,13,13,1,13,14,9,13,15,1,2,14,14,67276230,7,180 cm
-,,Asier Hierro,ST (C),ESP,18,A. Bilbao,Unknown,Unknown,€140K - €425K,"€1,300 p/m",-,€20M,-,Fairly Determined,Media-friendly,Young striker,30/6/2025,Reasonable,Very Strong,-,-,2,12,2,9,11,7,8,8,2,8,6,4,13,16,10,14,14,13,3,11,8,2,10,3,7,14,12,8,7,3,8,5,3,7,14,3,2,8,8,2000217184,6,185 cm
-,,Ardaitz Villorejo,"AM (RLC), ST (C)",ESP,16,A. Bilbao,Unknown,Unknown,€275K - €850K,"€1,500 p/m",-,€20M,-,Balanced,Level-headed,Young striker,30/6/2025,Fairly Strong,Very Strong,-,-,1,13,2,8,9,5,7,4,2,7,10,8,11,7,13,13,8,12,3,8,9,3,10,8,3,13,10,7,7,1,6,6,5,7,12,3,2,9,8,2000264229,5,181 cm
-,,Iker Muniain,"M (LC), AM (RLC)",ESP,30,A. Bilbao,Unknown,Unknown,€28M - €83M,"€183,000 p/m",-,€1B,-,Balanced,Media-friendly,Attacking midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,2,15,2,12,15,14,16,14,2,11,9,11,10,12,14,11,15,18,3,7,6,2,15,12,9,14,15,15,11,2,13,10,8,11,15,1,2,14,14,67037570,15,170 cm
-,,Álex Berenguer,"WB (L), M (RL), AM (RLC)",ESP,27,A. Bilbao,Unknown,Unknown,€21M - €63M,"€108,000 p/m",-,€60M,-,Balanced,Level-headed,Winger,30/6/2024,Fairly Strong,Very Strong,-,-,4,15,4,9,15,11,14,11,3,11,12,12,11,14,15,13,13,14,3,6,7,3,8,10,8,14,14,13,9,2,12,8,7,11,14,2,3,12,13,67157520,14,175 cm
-,,Raúl García,"M/AM (C), ST (C)",ESP,36,A. Bilbao,Unknown,Unknown,€1M - €3M,"€693,000 p/m",-,€1B,-,Perfectionist,Level-headed,Veteran attacking midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,3,10,4,15,11,12,12,15,2,13,16,10,14,14,11,14,14,13,3,16,12,1,13,17,11,15,10,14,14,1,10,14,12,16,13,2,1,13,13,1502117,10,184 cm
-,,Íñigo Ruiz de Galarreta,"DM, M (C)",ESP,29,A. Bilbao,Unknown,Unknown,€11M - €34M,"€73,000 p/m",-,€22.5M,-,Fairly Professional,Reserved,Midfielder,30/6/2025,Fairly Strong,Very Strong,-,-,1,12,1,11,14,14,15,10,2,14,13,11,15,11,13,7,16,9,4,9,7,1,10,10,10,9,12,15,12,1,12,10,10,16,15,1,1,15,14,67088157,11,174 cm
-,,Diego Rosado,"D (RC), WB (R)",ESP,18,A. Madrid,Unknown,Unknown,€85K - €250K,"€1,300 p/m",-,€170K,-,Balanced,Media-friendly,Young full-back,30/6/2025,Fairly Strong,Very Strong,-,-,1,10,2,15,10,10,4,10,1,7,9,10,15,4,8,6,8,5,2,10,10,1,9,5,7,8,11,11,11,3,11,5,13,9,6,1,1,9,12,2000300218,4,179 cm
-,,Omar Janneh,ST (C),ESP,16,A. Madrid,Unknown,Unknown,€16K - €45K,"€1,500 p/m",-,€230K,-,Balanced,Media-friendly,Promising striker,30/6/2024,Reasonable,Very Strong,-,-,1,10,3,14,6,9,15,10,1,9,8,7,12,4,10,10,15,8,1,11,13,2,6,8,7,10,10,8,6,1,5,10,8,8,10,2,1,9,9,2000300244,8,187 cm
-,Loa,Rodrigo Riquelme,M/AM (RLC),ESP,23,A. Madrid,Unknown,Unknown,€4.1M - €12.5M,"€73,500 p/m",-,€60M,-,Balanced,Level-headed,Attacking midfielder,30/6/2028,Fairly Strong,Very Strong,-,-,3,14,2,11,13,13,12,11,3,12,12,11,13,12,14,12,14,15,1,7,8,1,9,14,7,13,12,13,9,2,12,10,7,12,15,3,3,14,12,67259880,11,174 cm
-,,Hugo Lozano,D/WB/M/AM (R),ESP,17,A. Madrid,Unknown,Unknown,€65K - €200K,"€1,300 p/m",-,€130K,-,Balanced,Media-friendly,Attacking full back,30/6/2025,Weak,Very Strong,-,-,2,12,2,12,11,5,7,8,3,9,7,10,5,8,10,7,10,8,2,7,11,3,10,7,9,10,12,10,8,2,10,5,10,13,9,3,3,7,13,2000213900,6,189 cm
-,,Javi Díaz,"D (C), DM",ESP,17,A. Madrid,Unknown,Unknown,€90K - €275K,"€1,300 p/m",-,€185K,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,10,1,15,14,10,9,14,1,6,6,8,9,11,3,7,10,5,1,10,5,3,12,10,13,4,15,10,7,1,10,9,12,14,9,3,2,7,14,2000300224,5,176 cm
-,,Adnane Bensaad,ST (C),MAR,17,A. Madrid,Unknown,Unknown,€55K - €170K,"€1,300 p/m",-,€115K,-,Balanced,Media-friendly,Young striker,30/6/2025,Reasonable,Very Strong,-,-,1,8,1,11,12,7,8,5,2,8,9,3,12,3,13,14,11,11,1,14,7,3,11,6,4,14,10,4,5,1,7,7,6,7,12,2,1,7,8,2000194113,6,178 cm
-,,Çağlar Söyüncü,D (C),TUR,27,A. Madrid,Unknown,Unknown,€4M - €12M,"€227,000 p/m",-,€46M,-,Ambitious,"Outspoken, Media-friendly",Powerful centre-back,30/6/2027,Fairly Strong,Very Strong,-,-,3,14,2,12,12,14,15,16,3,11,11,7,10,16,11,7,12,9,4,14,16,1,10,8,15,7,12,10,14,1,13,15,16,13,10,1,4,12,14,70093800,4,185 cm
-,,David Muñoz,M (C),ESP,18,A. Madrid,Unknown,Unknown,€35K - €110K,"€1,300 p/m",-,€180K,-,Balanced,Media-friendly,Young midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,2,10,3,14,13,6,6,4,1,7,8,7,11,11,3,8,14,5,2,7,9,1,1,11,12,10,12,13,9,1,10,7,10,8,10,2,3,8,11,2000164444,4,177 cm
-,,Mario Hermoso,D (LC),ESP,28,A. Madrid,Unknown,Unknown,€4.3M - €13M,"€715,000 p/m",-,€85M,-,Balanced,"Outspoken, Media-friendly",Centre-back,30/6/2024,Very Strong,Reasonable,-,-,1,14,3,14,14,14,13,14,1,11,11,10,12,14,10,7,11,8,3,14,11,3,10,9,15,9,15,12,15,1,14,14,16,14,12,2,4,11,15,67196188,7,184 cm
-,,Mario Maroto,M (C),ESP,19,A. Madrid,Unknown,Unknown,€210K - €650K,"€1,800 p/m",-,€425K,-,Balanced,Media-friendly,Young midfielder,30/6/2024,Very Strong,Reasonable,-,-,3,14,3,13,12,7,9,9,3,8,7,9,13,6,4,7,14,7,3,8,6,3,2,9,10,10,11,14,7,2,8,7,10,9,14,2,1,14,10,2000065658,4,176 cm
-,,Marcos Llorente,"WB (R), DM, M (RC), AM (C)",ESP,28,A. Madrid,Unknown,Unknown,€25M - €75M,"€667,000 p/m",-,€200M,-,Professional,"Evasive, Reserved",Tireless midfielder,30/6/2027,Reasonable,Very Strong,-,-,2,13,1,13,11,15,11,13,3,14,15,11,14,16,12,12,12,9,2,13,10,1,12,11,11,13,14,14,12,2,16,15,15,16,14,1,1,13,16,67196198,9,184 cm
-,Wnt,Nahuel Molina,D/WB/M (R),ARG,25,A. Madrid,Unknown,Unknown,€9.8M - €29M,"€105,000 p/m",-,€57M,-,Spirited,Media-friendly,Attacking full back,30/6/2027,Reasonable,Very Strong,-,-,2,15,2,10,14,12,12,13,2,13,11,14,12,14,13,11,13,12,2,8,8,1,8,12,11,13,15,14,12,3,13,12,13,12,14,3,1,13,15,14129337,14,175 cm
-,Wnt,Ángel Correa,"M (R), AM (RLC), ST (C)",ARG,28,A. Madrid,Unknown,Unknown,€27M,"€417,000 p/m",-,€110M,-,Fairly Professional,Level-headed,Winger,30/6/2026,Fairly Strong,Very Strong,-,-,2,14,3,11,16,14,14,11,3,13,14,11,14,13,16,13,15,17,1,8,6,1,10,11,5,16,14,14,8,1,12,11,6,12,16,4,1,14,14,14043349,13,172 cm
-,,Ivan Vasiljević,D (C),ESP,18,A. Madrid,Unknown,Unknown,€14K - €45K,"€1,300 p/m",-,€80K,-,Fairly Ambitious,Media-friendly,Young centre-back,30/6/2026,Strong,Very Strong,-,-,3,12,3,15,9,10,6,8,2,4,6,2,13,9,4,3,5,5,3,13,11,2,10,4,13,3,10,6,5,1,7,4,13,5,1,4,4,2,6,2000194108,1,185 cm
-,Wnt,Ivo Grbić,GK,CRO,27,A. Madrid,Unknown,Unknown,€3.1M - €9.4M,"€95,000 p/m",-,€44.5M,-,Spirited,"Evasive, Unflappable",Goalkeeper,30/6/2024,Reasonable,Very Strong,-,-,14,12,15,11,12,16,13,13,17,14,14,2,11,14,1,1,8,1,13,8,17,12,12,1,3,2,11,11,16,14,12,16,2,12,6,11,12,6,10,24039943,3,196 cm
-,,Jan Oblak,GK,SVN,30,A. Madrid,Unknown,Unknown,€59M - €178M,"€1,543,000 p/m",-,€120M,-,Light-Hearted,Level-headed,World class goalkeeper,30/6/2028,Weak,Very Strong,-,-,16,11,15,8,13,11,13,13,15,15,16,2,15,15,3,2,12,15,18,3,13,16,15,2,2,2,13,16,16,19,13,13,1,12,10,14,15,8,12,64016316,4,189 cm
-,,Axel Witsel,"D (C), DM, M (C)",BEL,34,A. Madrid,Unknown,Unknown,€1.7M - €5.2M,"€520,000 p/m",-,€73M,-,Spirited,Evasive,Veteran midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,1,10,2,11,11,18,18,13,2,19,18,10,14,13,13,10,15,8,1,13,14,3,13,11,12,12,10,16,12,3,14,14,12,18,15,3,3,13,13,8169215,8,186 cm
-,,Álvaro Tamargo,M/AM (R),ESP,16,A. Madrid,Unknown,Unknown,€65K - €200K,"€1,500 p/m",-,€135K,-,Balanced,Media-friendly,Young winger,30/6/2025,Reasonable,Very Strong,-,-,1,11,1,11,9,7,6,8,2,10,9,11,9,4,8,11,11,10,1,7,10,3,11,10,5,11,8,12,5,1,8,6,9,16,14,3,3,11,13,2000300229,9,180 cm
-,,Nico,M/AM (C),ESP,17,A. Madrid,Unknown,Unknown,€65K - €190K,"€1,300 p/m",-,€275K,-,Balanced,Media-friendly,Young midfielder,30/6/2024,Very Strong,Weak,-,-,2,13,3,10,13,10,8,3,1,3,12,7,13,11,8,12,12,12,4,6,14,2,5,5,8,8,13,12,6,3,8,5,7,8,12,1,3,13,12,2000185068,3,189 cm
-,,Saúl,"DM, M (RLC)",ESP,28,A. Madrid,Unknown,Unknown,€8.4M - €25M,"€1,296,000 p/m",-,€150M,-,Resolute,Reserved,Midfielder,30/6/2026,Very Strong,Reasonable,-,-,3,13,1,8,13,13,12,12,2,16,14,12,11,15,15,13,13,15,2,15,13,1,13,12,13,14,13,15,14,2,14,11,14,14,16,3,1,15,14,67103336,13,184 cm
-,,César Azpilicueta,"D (RLC), WB (RL)",ESP,33,A. Madrid,Unknown,Unknown,€1.9M - €5.6M,"€758,000 p/m",-,€63M,-,Model Professional,Evasive,Experienced full-back,30/6/2024,Strong,Very Strong,-,-,1,10,1,15,12,15,12,16,1,16,14,15,15,18,12,6,11,8,2,10,10,4,18,9,14,12,11,13,14,1,12,12,16,18,15,3,1,10,18,67033300,8,178 cm
-,,Paco Esteban,ST (C),ESP,17,A. Madrid,Unknown,Unknown,€120K - €375K,"€1,300 p/m",-,€250K,-,Fairly Determined,Level-headed,Young striker,30/6/2025,Reasonable,Very Strong,-,-,2,14,1,8,13,8,5,8,2,3,11,8,8,15,11,14,14,14,1,11,7,2,5,7,5,11,12,4,7,3,10,6,2,7,14,3,3,9,9,2000300233,7,179 cm
-,,Thomas Lemar,"WB (L), M/AM (LC)",FRA,27,A. Madrid,Unknown,Unknown,€14M - €43M,"€540,000 p/m",-,€190M,-,Model Citizen,Unflappable,Winger,30/6/2027,Very Strong,Weak,-,-,3,15,2,9,16,12,11,10,2,12,13,15,12,15,15,12,15,16,2,6,7,1,10,13,7,14,14,16,8,2,13,9,6,14,16,1,3,15,15,85093001,16,170 cm
-,,Memphis Depay,"AM (LC), ST (C)",NED,29,A. Madrid,Unknown,Unknown,€46M - €137M,"€801,000 p/m",-,€400M,-,Fairly Determined,Level-headed,Striker,30/6/2025,Fairly Strong,Very Strong,-,-,4,16,1,9,14,13,14,13,2,10,13,14,13,15,15,15,16,17,1,11,10,1,15,14,3,15,16,15,5,3,14,14,3,11,16,1,3,14,11,37024470,14,176 cm
-,,Stefan Savić,D (C),MNE,32,A. Madrid,Unknown,Unknown,€9.2M - €27M,"€374,000 p/m",-,€80M,-,Spirited,Level-headed,Experienced centre-back,30/6/2024,Reasonable,Very Strong,-,-,1,13,3,14,13,17,10,14,2,15,15,9,15,15,9,9,11,8,3,14,13,2,13,8,16,8,14,12,15,1,15,15,14,15,11,3,3,11,15,62012567,7,187 cm
-,,Darío,"DM, M (C)",ESP,18,A. Madrid,Unknown,Unknown,€110K - €325K,"€1,300 p/m",-,€220K,-,Jovial,Level-headed,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,9,1,14,7,11,8,8,2,9,7,5,14,11,7,7,14,5,3,7,7,4,11,9,9,8,7,9,14,2,6,7,14,8,9,2,1,7,11,2000300222,6,180 cm
-,,Javi Galán,D/WB (L),ESP,28,A. Madrid,Unknown,Unknown,€16.5M - €49M,"€125,000 p/m",-,€98M,-,Professional,"Evasive, Reserved",Attacking full back,30/6/2026,Very Strong,Weak,-,-,2,15,2,14,15,15,14,14,4,13,12,16,14,16,16,11,11,13,3,6,9,1,10,7,11,14,14,13,14,3,16,12,15,15,13,3,1,12,16,67243881,13,172 cm
-,,Salvi Esquivel,GK,ESP,17,A. Madrid,Unknown,Unknown,€30K - €95K,"€1,300 p/m",-,€225K,-,Balanced,Media-friendly,Young goalkeeper,30/6/2024,Very Strong,Weak,-,-,11,10,13,9,7,6,7,13,8,4,4,3,13,7,2,3,1,1,12,1,15,6,7,3,2,1,9,9,9,13,1,6,3,7,2,5,14,6,6,2000213587,3,193 cm
-,,Pedro Mula,D (C),ESP,18,A. Madrid,Unknown,Unknown,€12K - €40K,"€1,300 p/m",-,€76K,-,Balanced,Media-friendly,Young centre-back,30/6/2024,Very Strong,Weak,-,-,1,13,3,8,11,7,6,8,1,8,5,2,11,3,1,3,6,5,1,13,6,3,10,1,13,2,11,6,12,2,6,6,11,5,5,4,1,3,6,2000130572,5,176 cm
-,,Izan Coulibaly,GK,ESP,16,A. Madrid,Unknown,Unknown,€20K - €60K,"€1,500 p/m",-,€69K,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Weak,Very Strong,-,-,8,10,12,15,13,2,5,12,6,9,2,3,12,4,1,2,1,1,9,1,9,8,3,3,1,2,9,7,9,6,1,3,1,5,2,8,6,4,4,2000284162,4,190 cm
-,,Rodrigo De Paul,M/AM (RC),ARG,29,A. Madrid,Unknown,Unknown,€27M - €80M,"€483,000 p/m",-,€160M,-,Fairly Determined,Level-headed,Midfield orchestrator,30/6/2026,Reasonable,Very Strong,-,-,3,14,2,13,14,15,14,14,3,13,14,15,14,15,15,13,15,15,3,8,9,3,15,15,10,13,14,15,10,1,14,12,12,15,15,3,3,15,14,14048343,15,180 cm
-,Wnt,Álvaro Morata,ST (C),ESP,30,A. Madrid,Unknown,Unknown,€13M - €40M,"€788,000 p/m",-,€169M,-,Fairly Loyal,Level-headed,Striker,30/6/2024,Fairly Strong,Very Strong,-,-,2,15,1,14,14,16,14,13,3,13,12,11,14,14,13,15,14,14,3,16,14,3,12,14,5,16,15,13,5,2,14,13,8,17,15,1,2,13,17,67117360,5,189 cm
-,,Samuel Lino,"D/WB/M (L), AM (RL), ST (C)",BRA,23,A. Madrid,Unknown,Unknown,€11.5M - €35M,"€100,000 p/m",-,€119M,-,Spirited,Level-headed,Winger,30/6/2027,Fairly Strong,Very Strong,-,-,2,14,3,12,12,10,14,13,2,10,11,8,10,15,13,13,13,14,3,5,11,4,7,12,4,12,14,12,7,3,13,13,9,9,13,2,2,12,14,19320258,7,178 cm
-,,José Giménez,D (C),URU,28,A. Madrid,Unknown,Unknown,€43M - €130M,"€417,000 p/m",-,€120M,-,Perfectionist,Level-headed,Powerful centre-back,30/6/2025,Fairly Strong,Very Strong,-,-,2,14,1,15,12,15,13,17,1,15,16,10,15,15,11,7,12,10,3,16,13,3,13,8,15,10,13,12,16,2,15,15,16,16,12,3,3,11,16,78060464,7,185 cm
-,,Koke,"DM, M (RLC)",ESP,31,A. Madrid,Unknown,Unknown,€39M - €116M,"€1,329,000 p/m",-,€150M,-,Resolute,Level-headed,Tireless defensive midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,1,13,1,14,12,15,15,15,2,15,15,15,15,16,13,12,14,10,3,9,9,2,16,14,12,13,13,16,15,1,15,12,14,17,14,3,2,15,16,67047092,15,178 cm
-,,Antoine Griezmann,"AM (RLC), ST (C)",FRA,32,A. Madrid,Unknown,Unknown,Not for Sale,"€1,163,000 p/m",-,€500M,-,Resolute,Level-headed,Elite attacking midfielder,30/6/2026,Very Strong,Fairly Strong,-,-,2,15,1,12,14,15,14,12,1,13,12,15,13,17,16,14,16,17,2,13,9,3,12,14,5,16,14,16,10,1,15,10,10,14,17,1,3,16,14,67086656,14,175 cm
-,,Jorge Castellanos,M/AM (L),ESP,17,A. Madrid,Unknown,Unknown,€95K - €300K,"€1,300 p/m",-,€190K,-,Balanced,Media-friendly,Young winger,30/6/2025,Very Strong,Reasonable,-,-,3,14,3,12,10,8,8,4,1,8,7,13,12,6,13,9,12,13,2,7,8,1,1,8,4,10,10,7,6,2,6,4,8,8,10,2,1,7,9,2000300238,8,176 cm
-,,Sebastián Lavazza,D/WB (L),ARG,18,A. Madrid,Unknown,Unknown,€14K - €45K,"€1,300 p/m",-,€86K,-,Fairly Determined,Media-friendly,Young full-back,30/6/2024,Very Strong,Reasonable,-,-,1,12,4,13,11,8,14,9,4,9,6,12,12,17,10,1,10,7,2,5,4,3,10,3,9,9,10,6,9,1,10,4,14,8,14,2,1,7,12,2000283754,6,173 cm
-,,Julio Díaz,D/WB (L),ESP,18,A. Madrid,Unknown,Unknown,€16K - €50K,"€1,300 p/m",-,€93K,-,Balanced,Level-headed,Young full-back,30/6/2024,Very Strong,Weak,-,-,2,14,3,5,14,8,8,9,3,7,8,10,12,8,5,2,6,5,1,8,6,3,8,3,9,5,14,9,10,3,6,7,11,8,7,2,1,7,8,2000213969,6,174 cm
-,Inj,Reinildo,"D (LC), WB/AM (L)",MOZ,29,A. Madrid,Unknown,Unknown,€11M - €33M,"€169,000 p/m",-,€98M,-,Resolute,Level-headed,Full-back,30/6/2025,Very Strong,Weak,-,-,3,16,2,14,13,14,9,14,3,15,13,14,13,16,14,8,13,9,4,13,12,2,6,8,13,13,15,13,12,3,16,13,14,16,13,4,4,12,17,13160655,8,180 cm
-,Inj,Vitolo,"M (RL), AM (RLC)",ESP,33,A. Madrid,Unknown,Unknown,€45K - €140K,"€457,000 p/m",-,€150M,-,Fairly Determined,Media-friendly,Experienced winger,30/6/2024,Fairly Strong,Very Strong,-,-,1,11,4,12,11,13,13,13,2,12,12,12,14,15,15,12,14,14,1,12,12,3,13,12,9,14,12,15,7,2,11,12,9,14,15,2,3,13,13,67072243,9,184 cm
-,,Noé Pérez,M/AM (C),ESP,16,A. Madrid,Unknown,Unknown,€55K - €170K,"€1,500 p/m",-,€110K,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Reasonable,Very Strong,-,-,2,9,1,14,14,7,7,6,3,5,5,3,13,13,8,8,12,12,3,6,3,1,8,9,5,4,14,13,8,3,7,4,6,7,13,3,1,9,11,2000300226,4,172 cm
